1, 436737.7351308950, 1284189.8696189499, 191.9436995553
3, 436646.4999796810, 1284308.6264847899, 192.7536115256
2, 436690.4648326510, 1284286.6418206200, 189.4647961744
7, 436729.7287572570, 1284265.0758645600, 192.6053471353
8, 436738.5929392830, 1284264.9447842699, 192.1742944930
9, 436747.7418854030, 1284266.0763811599, 192.3433063446
10, 436752.7251479030, 1284265.4714572700, 191.9653381767
11, 436760.1057198380, 1284271.8618273200, 192.4634584668
12, 436757.7081127170, 1284271.1175554600, 192.2204722810
13, 436764.6505147760, 1284269.3576223301, 192.4755163010
14, 436766.5678845370, 1284249.4646030399, 192.5206650597
15, 436769.3845192720, 1284230.9718427900, 192.6400187731
16, 436773.4570194930, 1284216.2540295401, 192.2766414994
17, 436773.6134284500, 1284194.9106229499, 191.4898157421
18, 436773.7862143090, 1284188.3432743901, 191.3805836834
19, 436773.7880195960, 1284188.3377704399, 191.3811679433
20, 436769.1426418980, 1284191.6460866099, 188.6148319429
21, 436769.6083079200, 1284201.5863690099, 188.4670440897
22, 436765.1315177440, 1284222.0628910901, 187.4360801794
23, 436760.3189878040, 1284244.4175255999, 186.1619723649
24, 436760.5485811760, 1284256.9597049800, 185.8948088977
25, 436760.7579329850, 1284261.8918192801, 185.8904273239
26, 436758.0331226260, 1284262.4945013500, 185.9370884385
27, 436740.7105452700, 1284259.1924076199, 186.0002534324
28, 436737.0568772780, 1284258.6033634299, 186.0582474542
29, 436726.7939078290, 1284259.2364043200, 186.1825485204
30, 436718.1757084240, 1284263.9742734600, 186.2764477120
31, 436722.9668490830, 1284258.4567894300, 185.3135377822
32, 436734.7998738550, 1284252.3478025601, 184.6924922271
33, 436743.5530958540, 1284247.8150442501, 184.9613143427
34, 436749.4386684310, 1284247.0230861600, 185.8047965767
35, 436737.6395278100, 1284252.6095259001, 185.6070450935
36, 436726.5165759720, 1284257.0685134600, 186.0428348340
37, 436747.7272018430, 1284238.4315914200, 185.6307013000
38, 436744.1390165340, 1284238.3273690599, 185.3109766085
39, 436742.1988534690, 1284232.7758597699, 183.3618653778
40, 436737.8901830830, 1284235.7753453599, 183.2304757044
41, 436744.1241093590, 1284224.2144149400, 182.3361283560
42, 436744.3556623460, 1284218.1718824401, 181.9328642375
43, 436746.5582982530, 1284209.5416551100, 182.4756842506
44, 436750.8694754560, 1284229.8861527101, 185.3278920506
45, 436750.9562879550, 1284231.8395895599, 186.3385935232
46, 436752.6648344830, 1284214.1236243299, 185.4113724149
47, 436755.7399028650, 1284213.6921074600, 187.7674984633
48, 436757.0677373860, 1284205.1134547000, 188.0971350175
49, 436753.5081128850, 1284204.3377180900, 185.3472045936
50, 436754.2991236600, 1284195.5688643500, 185.4374098038
51, 436758.7113328480, 1284194.3751770600, 188.6101941439
52, 436752.1029254980, 1284189.5378042900, 188.6525978208
53, 436750.6193287290, 1284182.8469760900, 191.9780536728
54, 436746.2034908310, 1284187.3773474300, 191.9030142566
55, 436740.6954943000, 1284190.0895011500, 191.8144913641
56, 436735.4959941420, 1284192.1484390399, 191.8007525412
57, 436723.9625667100, 1284197.6140314001, 191.9415395056
58, 436720.0214834090, 1284204.2528053401, 191.9555891665
59, 436715.8652797850, 1284209.3083410400, 192.1109403795
60, 436741.4956535930, 1284233.7399515100, 182.9680134923
61, 436727.7077472250, 1284241.4823558901, 182.0484841407
62, 436719.3100998260, 1284246.4180636399, 183.8634796714
63, 436711.1617126050, 1284252.9907803200, 184.8200021471
64, 436698.4675694760, 1284256.2958614100, 184.5752035190
65, 436693.5843631980, 1284251.2451433199, 185.0394334979
66, 436694.3552993510, 1284241.1495799699, 184.1724509107
67, 436697.6159189780, 1284234.5878787499, 184.2992527970
68, 436744.8000571260, 1284217.6484808601, 181.8703335988
69, 436746.5212721550, 1284209.9920824601, 181.8682014149
70, 436748.3673285780, 1284172.5891660000, 191.2481905031
71, 436754.9651345500, 1284173.0446845801, 190.3903345992
72, 436757.0427823730, 1284180.3800396200, 189.6745692979
73, 436763.9289883730, 1284174.5702024200, 189.9440451255
74, 436767.3151160550, 1284171.6650346799, 190.9559071827
75, 436760.2166930520, 1284162.3770509199, 190.6343085210
76, 436755.0150183730, 1284182.8909457901, 189.5910805027
77, 436713.9506480150, 1284210.1364096999, 192.1414278528
78, 436701.9685969300, 1284215.0424414100, 191.8096448079
79, 436690.3549048220, 1284215.5987547601, 191.4950454525
80, 436669.8428412930, 1284212.8916103500, 191.0124191267
81, 436709.6641642180, 1284199.0144642401, 191.6041608376
82, 436735.7252325850, 1284175.4163091599, 191.2983525926
83, 436738.8271362110, 1284231.1306712599, 179.4905084320
84, 436739.9147382940, 1284223.9137989299, 178.5030365769
85, 436732.0222858220, 1284228.7889209599, 178.8856605470
86, 436733.0481892040, 1284231.6961805900, 179.4547690361
87, 436725.0934998970, 1284236.6716731901, 178.7763503245
88, 436728.0511136580, 1284242.0277498600, 182.1205242554
89, 436730.9974177350, 1284243.1639602501, 184.6840801584
90, 436733.1331375250, 1284239.7899311399, 183.8020527079
91, 436735.7427941140, 1284236.5065454999, 183.4776019132
92, 436722.8292465330, 1284246.3156953999, 184.9596368805
93, 436718.3207342600, 1284238.4758156100, 178.7452177740
94, 436710.9098155260, 1284242.6504710801, 179.3485878680
95, 436701.6584392820, 1284247.0463054299, 179.3882949930
96, 436700.0680883550, 1284241.7094652201, 179.7585474993
97, 436703.1916408840, 1284234.3358636301, 179.8485850155
98, 436711.3546231610, 1284228.3156249800, 179.3445458958
99, 436722.6794530300, 1284218.7081979599, 178.2271301932
